City,State,City Population (2018 ACS Estimates),Police Shootings Incidents 2013,Police Shootings Incidents 2014,Police Shootings Incidents 2015,Police Shootings Incidents 2016,Police Shootings Incidents 2017,Police Shootings Incidents 2018,Police Shootings Incidents 2019,"% Change in Police Shootings, 2019 vs 2013",Arrest Totals for 2018,Arrest Totals for 2017,Arrest Totals for 2016,Arrest Totals for 2015,Arrest Totals for 2014,Arrest Totals for 2013,"Change in Arrest Totals, 2018 vs 2013","% Change in Arrests, 2018 vs 2013","Police Shootings Source Data Link(s) *Methodological Note: A police shootings ""incident"" can involve more than one person being shot. As such, cases where a department shot more than one person in the same incident were counted as a single incident for the purpose of analysis.)",Arrests Data Source
Louisville,Kentucky,"620,118",2,6,6,2,8,9,16,700%,41453,42199,40838,41338,34606,31716,9737,31%,https://data.louisvilleky.gov/dataset/officer-involved-shooting-and-statistical-analysis,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Memphis,Tennessee,"650,618",,,,,,,,,31342,30103,31793,34280,39655,47866,-16524,-35%,Data unavailable,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Nashville,Tennessee,"669,053",,,,,,,,,35949,40511,42771,45841,47378,51672,-15723,-30%,Data unavailable,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
New York,New York,"8,398,748",40,35,33,37,23,17,24,-40%,246773,286225,314864,339470,387727,393809,-147036,-37%,"https://www1.nyc.gov/site/nypd/stats/reports-analysis/use-of-force.page (adversarial conflict shootings only); 22 adversarial shootings from 1/1/19-10/24/19: https://www.wsj.com/articles/nypd-officers-fire-weapons-more-often-in-2019-with-more-injuries-and-deaths-11573491180 ; two additional NYPD shootings found through keyword search (""New York police shooting"", ""Officer-involved shooting"", etc.): https://nypost.com/2019/12/14/nypd-shoots-man-who-pointed-fake-gun-at-them-in-bronx/ and https://www.ny1.com/nyc/all-boroughs/news/2019/10/25/brownsville-brooklyn-shooting-nypd-officers-injured-nyc","Since NYPD did not report arrests data to the FBI UCR, individualized arrest data for the NYPD was obtained via data.gov : https://catalog.data.gov/dataset/nypd-arrests-data-historic"
Oklahoma City,Oklahoma,"649,021",9,14,10,7,8,12,11,22%,15795,17246,18574,19660,19515,19330,-3535,-18%, https://www.readfrontier.org/special-projects/shot-by-shot-oklahoma-officer-involved-shootings-in-2019/ ; https://www.muckrock.com/foi/oklahoma-city-341/police-shootings-data-46860/,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Philadelphia,Pennsylvania,"1,584,138",43,29,23,24,14,12,9,-79%,46301,52689,53807,69324,82799,86253,-39952,-46%,https://www.phillypolice.com/ois/,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Phoenix,Arizona,"1,660,272",33,21,17,25,21,44,15,-55%,52449,49958,44335,No Data Reported,59811,70691,-18242,-26%,https://opengov.civicdashboards.com/embed/0e2526 ; https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Portland,Oregon,"653,115",2,4,6,2,6,6,6,200%,20501,19107,20322,No Data Reported,20160,"23,331",-2830,-12%,https://www.portlandoregon.gov/police/76940,"Since Portland Police Bureau did not report 2013 arrest data to the FBI UCR, the Portland Police Bureau Annual Report was used for 2013 data (Arrest Totals for All Part 1 and Part 2 Offenses used in analysis since UCR Data includes all Part 1 and Part 2 Offenses): https://www.portlandoregon.gov/police/article/518831 ; FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest"
San Antonio,Texas,"1,532,233",13,13,13,13,12,11,17,31%,61234,52253,42077,50826,57490,58324,2910,5%,https://texasjusticeinitiative.org/data/ ; https://oagtx.force.com/oisreports/apex/OISReportsPage,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
San Diego,California,"1,425,976",9,9,12,6,8,6,,,33674,35725,35761,36587,40118,41444,-7770,-19%,https://sandiego.nextrequest.com/requests/19-2229# ; https://sandiego.nextrequest.com/requests/16-1657,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
San Francisco,California,"883,305",8,8,9,3,6,5,1,-88%,13891,13950,15271,16604,14699,17451,-3560,-20%,https://www.sanfranciscopolice.org/your-sfpd/published-reports/officer-involved-shootings-ois-historical-data,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
San Jose,California,"1,030,119",6,4,12,5,8,6,4,-33%,15392,13977,13034,16232,17729,17994,-2602,-14%,https://www.sanjoseca.gov/home/showdocument?id=10499 ; https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data https://www.mercurynews.com/2020/01/04/san-jose-police-shooting-reported-near-eastridge-mall/ https://www.mercurynews.com/2018/12/25/san-jose-one-dead-one-hurt-in-officer-involved-shooting/,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Seattle,Washington,"744,955",6,7,4,4,6,2,6,0%,15182,14543,14569,14230,13207,15100,82,1%,https://www.seattle.gov/police/information-and-data/use-of-force-data/officer-involved-shootings-dashboard ; https://data.seattle.gov/Public-Safety/Use-Of-Force/ppi5-g2bj,FBI UCR: https://crime-data-explorer.fr.cloud.gov/explorer/national/united-states/arrest
Washington,District of Columbia,"702,455",16,9,15,10,10,3,,,"47,147","53,028","44,175","36,219",41186,"41,630",5517,13%,https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202018_lowres.pdf ; https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202013_lowres.pdf,"Since MDPD did not report arrest data to the FBI UCR, MDPD Annual Reports were used: https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202018_lowres.pdf ; https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202016_lowres.pdf ; https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202014_lowres_0.pdf"
Average Shootings (For the 23 Cities with 2013-2019 Data Available),,,17.8,16.4,16.9,15.7,13.2,12.8,11.1,-37%,,,,,,,,,,
